#NUM,#TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT
id,textId,comments,rewardId,lang_1,sender_1,subject_1,content_1,lang_2,sender_2,subject_2,content_2
#id,mail_系统名_001,注释,附件,语言1,发信人1,主题1,内容1,语言2,发信人2,主题2,内容2
1,mail_sys_001,测试,20001,zh-CN,系统,压岁钱,啦啦啦,en,sys,hello,world
2,mail_sys_002,测试,20001,zh-CN,六个文字显示,主题十个汉字能显示全,每十九个文字一换行每十九个文字一换行每十九个文字一换行每十九个文字一换行,en,sys,hello,world
3,mail_sys_003,测试,20002,zh-CN,大于六个文字显示,主题大于十个汉字显示十个,文字特别多的时候也能显示文字特别多的时候也能显示文字特别多的时候也能显示文字特别多的时候也能显示文字特别多的时候也能显示文字特别多的时候也能显示文字特别多的时候也能显示文字特别多的时候也能显示文字特别多的时候也能显示文字特别多的时候也能显示文字特别多的时候也能显示文字特别多的时候也能显示文字特别多的时候也能显示文字特别多的时候也能显示文字特别多的时候也能显示文字特别多的时候也能显示文字特别多的时候也能显示文字特别多的时候也能显示文字特别多的时候也能显示文字特别多的时候也能显示文字特别多的时候也能显示文字特别多的时候也能显示文字特别多的时候也能显示文字特别多的时候也能显示文字特别多的时候也能显示文字特别多的时候也能显示文字特别多的时候也能显示文字特别多的时候也能显示文字特别多的时候也能显示文字特别多的时候也能显示文字特别多的时候也能显示文字特别多的时候也能显示文字特别多的时候也能显示文字特别多的时候也能显示文字特别多的时候也能显示文字特别多的时候也能显示文字特别多的时候也能显示文字特别多的时候也能显示文字特别多的时候也能显示文字特别多的时候也能显示文字特别多的时候也能显示文字特别多500,en,sys,hello,world
4,mail_sys_004,测试,20003,zh-CN,english,subjectabcdefgabcdefg,abcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyz,en,sys,hello,world
5,mail_sys_005,测试,20004,zh-CN,englishafasdfas,subjectabcdefgabcdefgaaaaaaaa,abcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyzabc500,en,sys,hello,world
6,mail_sys_006,测试,20005,zh-CN,混搭hunda￥%,混搭%&……75^&%hunda,fasdfasd混搭混啊发送到发送到发生地方发送到发疯%d%d{0}？？￥@#￥@#￥3234车发生的发生地方,en,sys,hello,world
7,mail_sys_007,测试,20006,zh-CN,附件,金币钻石经验,附件,en,sys,hello,world
8,mail_sys_008,测试,,zh-CN,,金币道具道具道具经验,,en,sys,hello,world
9,mail_sys_009,集体测试,,zh-CN,系统,欢迎参加集体测试,今天进行的是超级复杂的集体测试，希望你们喜欢,en,sys,hello,world
101,mail_sociaty_001,移交会长,,zh-CN,系统,会内职务变更,"亲爱的玩家：
您已成为{0}公会会长！",en,sys,Change in the position,"Dear players: 
You have become president of {0} association!"
102,mail_sociaty_002,被赠送活力值,10004,zh-CN,系统,活力值,这是来自{0}赠送的{1}点活力值,en,sys,Dynamic value,This is {1} point of energy from {0}
103,mail_sociaty_003,被踢出公会,,zh-CN,系统,公会变更,很遗憾，您已被请离公会{0},en,sys,Guild changes,It's a pity that you have been asked to leave the guild {0}
